CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Cluster
10117,1,8,20077.13416968046,4,4,4,12,1
10118,3,3,3977.072827914143,4,1,1,6,0
10119,72,8,22901.328452726615,2,4,4,10,1
10120,137,4,12345.883322258995,1,2,3,6,3
10121,143,5,13732.942180689786,1,3,3,7,3
10122,4,7,12695.795360600021,4,4,3,11,2
10123,208,3,4269.789055973288,1,1,1,3,3
10124,197,3,5648.181457378723,1,1,1,3,3
10125,53,4,11818.981929144331,2,2,3,7,2
10126,11,2,6383.812800482836,4,1,1,6,0
10127,44,3,7739.781112674086,3,1,2,6,0
10128,7,4,13394.227771666887,4,2,3,9,2
10129,102,7,16403.52441015463,1,4,4,9,2
10130,102,4,8874.010488643775,1,2,2,5,0
10131,91,5,6507.715730062861,2,3,1,6,0
10132,62,8,10575.252586209483,2,4,3,9,2
10133,15,5,13817.12378708988,4,3,3,10,2
10134,122,4,8210.710955385888,1,2,2,5,3
10135,5,2,4667.8480884197525,4,1,1,6,0
10136,17,7,10446.760436020384,4,4,3,11,2
10137,97,4,8860.950334593264,1,2,2,5,0
10138,82,2,1717.7162922639138,2,1,1,4,0
10139,11,4,9761.747717758388,4,2,2,8,0
10140,24,5,8132.626245243697,3,3,2,8,0
10141,64,5,6331.902731029995,2,3,1,6,0
10142,6,5,16921.690924928702,4,3,4,11,2
10143,82,3,5876.201877270067,2,1,1,4,0
10144,23,8,14268.238939892168,3,4,3,10,2
10145,2,7,11812.526146991822,4,4,3,11,2
10146,41,4,11335.795695424733,3,2,3,8,2
10147,58,5,11405.770655772214,2,3,3,8,2
10148,35,6,6726.082282447321,3,3,2,8,2
10149,2,4,11323.493776640948,4,2,3,9,2
10150,71,7,8903.796423799195,2,4,2,8,2
10151,85,6,9180.316651789466,2,3,2,7,2
10152,24,7,5025.95463025589,3,4,1,8,2
10153,89,10,11638.424413453127,2,4,3,9,1
10154,23,5,10685.327025843993,3,3,3,9,2
10155,250,1,7693.444643776427,1,1,2,4,3
10156,49,5,6206.247607281364,3,3,1,7,0
10157,38,5,8499.073765682384,3,3,2,8,2
10158,268,2,6291.33933127082,1,1,1,3,3
10159,116,3,8958.402905809347,1,1,2,4,3
10160,3,5,14224.639276432321,4,3,3,10,2
10161,87,5,19977.164281367986,2,3,4,9,2
10162,55,2,2327.8542015166995,2,1,1,4,0
10163,29,4,9966.373971657296,3,2,2,7,0
10164,28,4,14141.10606727643,3,2,3,8,2
10165,32,6,11134.766957132106,3,3,3,9,2
10166,268,1,5242.0179303412415,1,1,1,3,3
10167,55,7,20133.96614266806,2,4,4,10,1
10168,57,4,15016.064593110947,2,2,4,8,2
10169,55,4,6787.650560844201,2,2,2,6,0
10170,6,5,12779.372632030438,4,3,3,10,2
10171,134,3,8424.916102027548,1,1,2,4,3
10172,13,6,6890.699275648147,4,3,2,9,2
10174,3,2,3654.5817389652007,4,1,1,6,0
10175,112,5,7412.188261996831,1,3,2,6,0
10176,74,7,14257.863653246815,2,4,3,9,2
10177,4,5,12602.559748552874,4,3,3,10,2
10178,59,12,29588.69696263957,2,4,4,10,1
10179,92,5,5291.692645146988,1,3,1,5,0
10180,79,4,13828.834109515254,2,2,3,7,2
10181,49,5,6077.5629482306085,3,3,1,7,0
10182,183,3,6730.579552086772,1,1,2,4,3
10183,14,8,19416.76809586447,4,4,4,12,1
10184,59,4,11563.2940782901,2,2,3,7,2
10185,67,2,7515.983438383033,2,1,2,5,0
10186,43,9,15496.847326702497,3,4,4,11,1
10187,79,3,3168.0897341568825,2,2,1,5,0
10188,270,2,2737.3018446946808,1,1,1,3,3
10189,70,7,8271.517042059093,2,4,2,8,2
10190,357,1,5064.478604190935,1,1,1,3,3
10191,0,3,4784.3109249401405,4,2,1,7,0
10192,45,4,8897.399806012229,3,2,2,7,0
10193,52,7,15904.691688844305,2,4,4,10,2
10194,65,4,8669.556977294333,2,2,2,6,0
10195,15,3,4278.473196354035,4,2,1,7,0
10196,43,3,7138.441687644625,3,2,2,7,0
10197,6,7,17959.137697238355,4,4,4,12,1
10198,32,5,14379.285280140728,3,3,4,10,2
10199,19,3,5772.155338961487,4,2,1,7,0
