InvoiceNo,CustomerID,ProductID,Product,Category,Quantity,UnitPrice,Discount,PaymentMethod,Country,City,CustomerAge,CustomerGender,SignupDate,InvoiceDate,ShippingCost,DeliveryTimeDays,ReturnStatus,CustomerTenure,Device,Revenue,Profit,OrderValue,Year,Month,Day,DayOfWeek,WeekOfYear,CustomerLifetimeDays,ProfitMargin,AvgOrderValue,HighValueCustomer,CohortMonth,OrderMonth
1466,10025,448,Monitor,Electronics,4,131.85716992343947,0.009124764242390393,Cash,India,New York,32,Female,2023-09-04,2023-03-12,36.7671477970229,7,No,1,Mobile,522.6160173368771,79.85225066612118,559.3831651339,2023,3,12,6,10,-176,0.15279334734711852,2462.8187650520977,0,2023-03,2023-03
2238,10062,230,Phone,Electronics,2,942.2272948376095,0.2180630718419315,Cash,Canada,Mumbai,18,Male,2023-04-03,2023-07-23,29.038545131387863,7,Yes,2,Desktop,1473.5246331040141,230.1578384029796,1502.563178235402,2023,7,23,6,29,111,0.1561954467759027,2209.032053150145,0,2023-01,2023-07
1330,10085,222,Phone,Electronics,1,875.2019707325343,0.2622041013926147,Cash,India,New York,24,Male,2023-09-25,2023-06-02,35.55063593868681,4,No,4,Mobile,645.7204244595647,117.90246631630067,681.2710603982515,2023,6,2,4,22,-115,0.1825905792200689,2113.945362050333,0,2023-01,2023-06
2482,10058,359,Headphones,Accessories,9,463.04486487513867,0.0662137757833256,Card,Canada,New York,18,Male,2023-04-13,2023-03-08,44.310182102267575,7,No,4,Desktop,3891.464244132083,497.67027728635145,3935.7744262343504,2023,3,8,2,10,-36,0.1278876654299948,2704.6356171940056,1,2023-02,2023-03
3135,10026,357,Laptop,Accessories,2,986.0892144332016,0.04753441115697179,Cash,USA,Toronto,49,Male,2023-04-22,2023-03-31,24.452207950467585,5,Yes,3,Desktop,1878.432088553757,378.4187265786862,1902.8842965042245,2023,3,31,4,13,-22,0.20145456888464808,2307.2513304533272,0,2023-02,2023-03
4444,10176,238,Monitor,Accessories,8,20.182797607249853,0.018661527457707293,Cash,Canada,New York,26,Male,2023-11-17,2023-09-17,23.574338273695716,1,Yes,3,Mobile,158.4492462042305,36.91968088913788,182.0235844779262,2023,9,17,6,37,-61,0.23300635234042627,2068.1324606578996,0,2023-03,2023-09
4171,10160,281,Phone,Electronics,9,621.6998671479259,0.2468108765151619,UPI,UK,Mumbai,46,Male,2023-10-31,2023-12-28,39.391052938357106,4,No,1,Mobile,4214.31820207008,1083.9230563265453,4253.709255008437,2023,12,28,3,52,58,0.25720009841547337,2873.529270375876,1,2023-01,2023-12
3919,10097,457,Monitor,Accessories,4,624.0996138244327,0.0934145819677753,Card,Canada,London,43,Female,2023-12-10,2023-08-16,31.21492266688973,7,No,1,Mobile,2263.1984371710932,548.3522693782829,2294.413359837983,2023,8,16,2,33,-116,0.24229084837284579,2015.3947148917323,0,2023-02,2023-08
4735,10104,405,Phone,Electronics,8,468.29419475249045,0.12050906782793294,UPI,India,Toronto,40,Female,2023-03-03,2023-03-20,8.195305110016484,2,No,4,Mobile,3294.883982989083,426.7770729711508,3303.0792880990994,2023,3,20,0,12,17,0.12952719281605274,4169.8114415774935,1,2023-01,2023-03
1130,10098,276,Monitor,Accessories,9,409.009013475607,0.1508250574828837,Cash,India,Mumbai,62,Male,2023-10-27,2023-04-06,45.14504070609866,2,Yes,4,Desktop,3125.881849564179,597.7105870858511,3171.026890270278,2023,4,6,3,14,-204,0.19121342899418478,2252.979146615021,0,2023-04,2023-04
2685,10128,211,Tablet,Accessories,5,466.27547277099546,0.2518359702628652,UPI,India,Toronto,60,Female,2023-05-16,2023-12-15,6.385239600693806,1,No,1,Desktop,1744.2526833796783,187.88608519818632,1750.637922980372,2023,12,15,4,50,213,0.1077172401616357,3369.9082408214817,0,2023-01,2023-12
4380,10148,494,Phone,Accessories,7,426.6612273580869,0.19524996646844547,UPI,Canada,New York,46,Female,2023-02-24,2023-11-26,38.67783602943844,2,Yes,3,Mobile,2403.4894591612424,248.90440541872184,2442.1672951906808,2023,11,26,6,47,275,0.10355959934418986,1154.9753575820957,0,2023-04,2023-11
1769,10054,423,Monitor,Accessories,4,735.8826279326535,0.18451938895734338,Cash,India,New York,55,Female,2023-04-18,2023-09-03,39.14573642169408,8,Yes,2,Mobile,2400.3920603287847,451.3363183396021,2439.5377967504787,2023,9,3,6,35,138,0.18802608365476012,1940.9416434274935,0,2023-02,2023-09
3391,10005,212,Laptop,Accessories,1,152.64832627381838,0.05270162998677321,Card,India,Mumbai,50,Female,2023-10-30,2023-09-29,47.88999883768687,8,No,2,Mobile,144.6035106644354,21.77614617804046,192.49350950212227,2023,9,29,4,39,-31,0.1505920988915258,2582.951268592836,0,2023-02,2023-09
2515,10196,245,Tablet,Electronics,3,213.68643617930755,0.15395696751294893,Card,UK,Mumbai,24,Female,2023-09-15,2023-06-06,7.436048378104434,8,Yes,4,Mobile,542.3637613994762,128.3624023600382,549.7998097775807,2023,6,6,1,23,-101,0.23667215897467256,2404.629172971648,0,2023-06,2023-06
4485,10094,354,Tablet,Accessories,5,196.90786382457512,0.21461430515359656,UPI,Canada,London,29,Female,2023-09-10,2023-04-26,31.858558735302093,1,Yes,4,Desktop,773.2430972529245,189.32714755579207,805.1016559882265,2023,4,26,2,17,-137,0.2448481573626825,2966.7977249220617,0,2023-01,2023-04
3853,10132,312,Laptop,Electronics,3,277.2211734188392,0.2919782649091475,Cash,UK,Mumbai,48,Male,2023-08-10,2023-01-18,24.252825678217384,1,No,4,Desktop,588.8358486237859,164.33274726461042,613.0886743020033,2023,1,18,2,3,-204,0.27908074491165114,1353.1466186924708,0,2023-01,2023-01
3433,10101,432,Monitor,Electronics,7,534.7532504059517,0.06042189276400567,UPI,India,Mumbai,49,Male,2023-06-16,2023-06-21,19.878482968679393,4,No,2,Desktop,3517.0971279830387,886.7885695333183,3536.975610951718,2023,6,21,2,25,5,0.25213650270780774,2929.4199455380276,1,2023-06,2023-06
2215,10002,216,Headphones,Electronics,9,128.98457239145435,0.0028630059201679935,UPI,India,Toronto,37,Male,2023-06-09,2023-01-16,9.064335213458286,6,Yes,2,Desktop,1157.5375991737856,126.92263721132196,1166.6019343872438,2023,1,16,0,3,-144,0.10964882462730835,1889.2530815769592,0,2023-01,2023-01
1955,10180,422,Laptop,Electronics,6,870.805909419974,0.022590430079540924,UPI,India,New York,34,Female,2023-06-15,2023-08-28,30.319435385208912,8,No,1,Desktop,5106.804176462226,890.2416059191252,5137.123611847434,2023,8,28,0,35,74,0.17432460207155354,3481.4245266139274,1,2023-07,2023-08
3324,10022,387,Monitor,Electronics,1,311.4143006823029,0.11275573955459377,Cash,Canada,Mumbai,53,Male,2023-07-24,2023-02-25,26.556832655357614,2,Yes,3,Desktop,276.3005509009932,42.717355589688715,302.8573835563508,2023,2,25,5,8,-149,0.1546046703504244,3294.7327590386994,0,2023-02,2023-02
2184,10052,362,Laptop,Accessories,7,179.28722771933369,0.24616339432379614,Cash,USA,London,20,Male,2023-09-24,2023-03-20,9.704950616796092,3,No,4,Desktop,946.0729262952738,167.66918397863645,955.7778769120698,2023,3,20,0,12,-188,0.17722648996543225,2327.3191521951553,0,2023-02,2023-03
1459,10164,273,Laptop,Accessories,3,682.1088834062784,0.0021426245304735137,Card,India,Mumbai,18,Male,2023-05-18,2023-04-13,32.56202781936875,6,No,1,Mobile,2041.9421405407147,269.5672607986746,2074.5041683600834,2023,4,13,3,15,-35,0.1320151317937403,3568.7536886548314,0,2023-03,2023-04
4385,10082,432,Phone,Accessories,5,57.32457458733289,0.13701917786575207,Cash,India,New York,44,Female,2023-12-12,2023-10-11,38.20789041138223,4,No,2,Desktop,247.35004252936275,29.568427093568587,285.557932940745,2023,10,11,2,41,-62,0.1195408207381187,2007.2577559731105,0,2023-05,2023-10
1021,10144,423,Monitor,Accessories,4,627.5691935766808,0.09876918460241836,UPI,India,Mumbai,64,Male,2023-09-05,2023-07-12,39.52752354741417,2,No,1,Mobile,2262.3387841820595,461.9625857134263,2301.8663077294736,2023,7,12,2,28,-55,0.20419690850168012,1809.1680550882843,0,2023-04,2023-07
3300,10084,259,Headphones,Electronics,5,704.2344620629698,0.01574451302991827,UPI,India,Toronto,57,Female,2023-02-24,2023-01-05,45.74179347180923,7,Yes,2,Mobile,3465.7331669945092,845.9031970899798,3511.4749604663184,2023,1,5,3,1,-50,0.24407626217327885,2181.3222279577017,1,2023-01,2023-01
1747,10077,421,Phone,Accessories,5,230.61820075898478,0.13507088600178518,Card,Canada,New York,50,Male,2023-07-28,2023-04-16,23.426183384994975,4,No,3,Mobile,997.3419802716556,239.74323980857912,1020.7681636566506,2023,4,16,6,15,-103,0.24038218038638856,1454.8342602132786,0,2023-01,2023-04
3904,10109,236,Laptop,Accessories,6,61.1247919747616,0.07642461220101565,Cash,USA,Mumbai,37,Male,2023-01-17,2023-10-05,47.888274587996165,8,Yes,2,Desktop,338.72012071333614,64.42079511983864,386.6083953013323,2023,10,5,3,40,261,0.1901888644352454,1721.8657859198647,0,2023-03,2023-10
4632,10000,477,Laptop,Electronics,6,376.3724517410606,0.10556545030410193,UPI,USA,Toronto,31,Male,2023-03-09,2023-04-10,43.944323228720876,8,Yes,1,Desktop,2019.8431463457403,412.9686408217998,2063.7874695744613,2023,4,10,0,15,32,0.20445579725778923,2280.6253023992795,0,2023-01,2023-04
1474,10050,395,Laptop,Electronics,8,116.62234563709775,0.2116845914352879,Card,USA,New York,53,Female,2023-05-13,2023-08-26,18.342570696077257,7,No,3,Desktop,735.4815363894703,149.49820206148064,753.8241070855476,2023,8,26,5,34,105,0.20326574450172827,1566.9430894695204,0,2023-01,2023-08
2082,10172,441,Monitor,Accessories,8,134.14829267987034,0.15646529517329014,Card,India,Mumbai,22,Female,2023-07-07,2023-09-26,12.167736680725632,9,No,2,Desktop,905.2699237497721,215.73856500491507,917.4376604304978,2023,9,26,1,39,81,0.23831407555361123,1182.235004958257,0,2023-02,2023-09
3558,10003,418,Monitor,Accessories,9,269.1760068159673,0.037394228697844,UPI,India,Toronto,40,Female,2023-11-04,2023-11-17,24.592522825760604,4,No,4,Mobile,2331.9933989140673,255.55157868565541,2356.585921739828,2023,11,17,4,46,13,0.10958503519120483,2978.079068592042,0,2023-01,2023-11
4753,10189,391,Phone,Electronics,8,309.5585661342241,0.2884243621270917,UPI,USA,London,62,Female,2023-05-18,2023-03-27,23.0854418580185,7,No,2,Desktop,1762.1946732478673,426.4144956472385,1785.2801151058857,2023,3,27,0,13,-52,0.24197922177424477,1202.092273637818,0,2023-01,2023-03
3047,10192,216,Headphones,Accessories,2,539.3709342009922,0.19077322971292152,Cash,USA,Toronto,32,Female,2023-06-23,2023-11-16,30.907368739904193,1,No,3,Mobile,872.9467981403865,188.94076225214326,903.8541668802907,2023,11,16,3,46,146,0.2164401801514575,2256.818108289417,0,2023-01,2023-11
4547,10112,211,Phone,Accessories,1,684.8240477929528,0.22976052769875946,Card,India,London,23,Male,2023-04-07,2023-02-01,31.25238045474866,4,Yes,1,Desktop,527.4785131912436,73.6474693721624,558.7308936459922,2023,2,1,2,5,-65,0.13962174293431484,1834.7712572933065,0,2023-02,2023-02
3747,10031,392,Tablet,Accessories,2,600.9155220527811,0.023763945002511243,UPI,India,Mumbai,50,Male,2023-06-20,2023-12-02,38.74941429709889,2,No,3,Desktop,1173.2707972711269,128.83894381673016,1212.0202115682257,2023,12,2,5,48,165,0.1098117707492529,1278.4439727940319,0,2023-02,2023-12
1975,10033,221,Laptop,Accessories,2,165.39313054372647,0.014117513838005668,Card,UK,Toronto,36,Female,2023-06-03,2023-02-20,27.945047669252457,9,Yes,1,Mobile,326.11638146912867,39.690176216028476,354.06142913838113,2023,2,20,0,8,-103,0.12170555811157768,2093.471672116044,0,2023-02,2023-02
2806,10091,319,Laptop,Electronics,3,188.6443118035739,0.005834415110424351,Cash,UK,London,30,Female,2023-07-02,2023-03-20,9.71701884233445,5,Yes,2,Mobile,562.6310477408746,115.30463260674517,572.3480665832091,2023,3,20,0,12,-104,0.20493826828385392,2574.437131377038,0,2023-01,2023-03
1189,10094,409,Laptop,Electronics,7,881.1938647970562,0.056638208332033334,UPI,UK,New York,46,Male,2023-08-30,2023-07-05,43.62311009988977,3,Yes,2,Mobile,5818.992361712396,1464.5339249029796,5862.615471812285,2023,7,5,2,27,-56,0.25168170601825657,2966.7977249220617,1,2023-01,2023-07
4005,10071,469,Phone,Electronics,2,567.1852687628314,0.12432251931554854,Cash,USA,Toronto,23,Female,2023-10-31,2023-06-23,18.939406243333416,4,Yes,3,Desktop,993.3427344631393,165.82015038636752,1012.2821407064728,2023,6,23,4,25,-130,0.16693145742490023,1363.075695726296,0,2023-01,2023-06
3734,10038,391,Phone,Accessories,1,872.5390762397352,0.28074784002084685,Card,Canada,Mumbai,32,Male,2023-10-12,2023-04-16,48.708385713796645,6,No,4,Desktop,627.5756152516445,110.34334582865226,676.2840009654412,2023,4,16,6,15,-179,0.17582478214104433,2785.658409818378,0,2023-01,2023-04
4005,10153,374,Laptop,Accessories,6,384.11558109347686,0.13711789777973288,Cash,India,New York,33,Female,2023-01-27,2023-03-04,10.303704890589657,1,No,2,Mobile,1988.6787606569926,570.4113030549144,1998.9824655475823,2023,3,4,5,9,36,0.2868292830092225,1189.003784159761,0,2023-01,2023-03
1562,10161,484,Phone,Accessories,9,622.1120072826974,0.08707653161175882,Cash,UK,London,41,Male,2023-12-26,2023-03-17,48.12130275046265,7,Yes,4,Desktop,5111.465862730418,728.9084077425294,5159.587165480881,2023,3,17,4,11,-284,0.1426026168065152,4026.724557980556,1,2023-03,2023-03
2899,10181,403,Monitor,Accessories,3,533.1901477335185,0.168580576055899,Card,Canada,Toronto,40,Female,2023-03-01,2023-11-12,9.095531309713264,8,Yes,4,Mobile,1329.9139364438163,160.58695477253897,1339.0094677535296,2023,11,12,6,45,256,0.12074988491507033,1242.2955314148962,0,2023-03,2023-11
4638,10117,363,Monitor,Accessories,6,332.74102002405334,0.033580373440436774,Cash,India,Toronto,27,Female,2023-07-21,2023-11-17,15.396626207617675,7,No,3,Desktop,1929.4047138761628,325.45588985931715,1944.8013400837804,2023,11,17,4,46,119,0.16868202276000363,2545.8154826268365,0,2023-02,2023-11
2267,10002,450,Phone,Electronics,3,480.5170645929234,0.18285176730149497,Card,Canada,Mumbai,58,Male,2023-09-07,2023-03-22,7.096097393894372,7,Yes,2,Mobile,1177.9610103407422,293.52953573659954,1185.0571077346365,2023,3,22,2,12,-169,0.24918442389845474,1889.2530815769592,0,2023-01,2023-03
3879,10122,426,Laptop,Accessories,1,512.4410592903935,0.170529586299151,UPI,USA,New York,58,Male,2023-12-28,2023-12-27,36.73009159875477,9,No,4,Mobile,425.054697446904,95.72888845033869,461.7847890456588,2023,12,27,2,52,-1,0.22521545821122638,1844.5432604749508,0,2023-01,2023-12
2528,10049,206,Phone,Accessories,5,216.75555526154503,0.2375979100217129,Card,USA,Toronto,34,Female,2023-03-10,2023-05-08,43.26344314573063,4,Yes,2,Desktop,826.2744417290302,151.33967308061654,869.5378848747608,2023,5,8,0,19,59,0.18315908787391383,855.1070165318257,0,2023-05,2023-05
4202,10011,228,Phone,Electronics,4,328.71016492919694,0.2960062834851072,Card,USA,Toronto,61,Female,2023-01-21,2023-07-02,24.533198681719117,7,No,1,Mobile,925.639562658915,271.16657877879874,950.1727613406341,2023,7,2,6,26,162,0.2929505065663661,1459.6737445427225,0,2023-04,2023-07
4556,10192,232,Phone,Accessories,7,795.5815554968361,0.07526204151483315,UPI,UK,New York,62,Male,2023-06-01,2023-08-31,46.783493376909334,9,Yes,4,Desktop,5149.931244070184,1272.0293487777237,5196.714737447093,2023,8,31,3,35,91,0.24699928765891466,2256.818108289417,1,2023-01,2023-08
4890,10053,333,Tablet,Electronics,6,917.4724746650446,0.15289693524112818,Card,India,Toronto,47,Female,2023-04-12,2023-07-04,31.56345822900198,5,Yes,3,Desktop,4663.1624707239935,524.0102215863405,4694.725928952996,2023,7,4,1,27,83,0.11237228487665876,2688.867835722876,1,2023-05,2023-07
1646,10132,278,Monitor,Electronics,7,372.59821167439344,0.2726596218957011,UPI,USA,New York,61,Male,2023-04-05,2023-08-08,33.35032109509355,2,Yes,3,Mobile,1897.0400691216723,472.22314405597814,1930.3903902167658,2023,8,8,1,32,125,0.24892628877080966,1353.1466186924708,0,2023-01,2023-08
3068,10056,257,Headphones,Electronics,5,320.8328365648378,0.23555696532685239,UPI,UK,New York,63,Male,2023-12-27,2023-03-12,43.043864076534646,5,No,4,Mobile,1226.2921360320931,128.5248720169937,1269.3360001086278,2023,3,12,6,10,-290,0.10480771118117167,1304.4583720647793,0,2023-01,2023-03
3888,10144,225,Headphones,Electronics,4,211.29322128044487,0.14622189093024227,Card,UK,New York,27,Female,2023-08-17,2023-12-08,18.35600922733275,4,No,2,Desktop,721.5901076963045,166.0123861227719,739.9461169236372,2023,12,8,4,49,113,0.23006466462348107,1809.1680550882843,0,2023-04,2023-12
3214,10111,425,Tablet,Electronics,7,684.9213452775696,0.2836114948844333,Cash,UK,Mumbai,36,Male,2023-05-05,2023-06-03,20.94195745974316,8,No,1,Desktop,3434.6884506559873,488.0574384407407,3455.6304081157305,2023,6,3,5,22,29,0.14209656725853176,3608.2226463497304,1,2023-04,2023-06
2297,10046,484,Phone,Accessories,7,336.6377076330105,0.017171008055042812,Cash,UK,New York,46,Male,2023-09-15,2023-09-02,45.767836363758995,5,Yes,1,Mobile,2316.0010919052907,554.1922925065123,2361.76892826905,2023,9,2,5,35,-13,0.23928844180751155,1682.2816480615243,0,2023-01,2023-09
3435,10150,203,Tablet,Electronics,6,987.9945483172047,0.2792995859137752,UPI,USA,New York,19,Female,2023-11-18,2023-05-20,45.543357321744374,9,Yes,3,Mobile,4272.288480522852,691.9223828704334,4317.8318378445965,2023,5,20,5,20,-182,0.16195591332955922,1289.8743922165188,1,2023-01,2023-05
1600,10084,298,Tablet,Electronics,8,339.17110602267417,0.015152217714841964,Cash,UK,London,53,Male,2023-08-24,2023-03-12,48.94172492903919,9,Yes,3,Mobile,2672.255292653079,733.8046746560643,2721.197017582118,2023,3,12,6,10,-165,0.274601261591113,2181.3222279577017,0,2023-01,2023-03
3363,10141,238,Laptop,Accessories,4,406.2533258469756,0.1641914232344053,Cash,USA,London,36,Male,2023-06-11,2023-02-15,45.5827242398752,3,Yes,2,Desktop,1358.2000563298002,227.33928400034216,1403.7827805696754,2023,2,15,2,7,-116,0.1673827673182921,1303.3204510999954,0,2023-02,2023-02
3061,10065,470,Monitor,Accessories,5,611.267512287794,0.2671322844003257,Card,USA,Mumbai,24,Male,2023-02-11,2023-02-16,10.73174162150124,6,Yes,3,Desktop,2239.8911267532576,501.59936223649663,2250.622868374759,2023,2,16,3,7,5,0.22393917108085937,2011.5480343546503,0,2023-02,2023-02
1241,10074,484,Headphones,Electronics,4,805.6506073274788,0.07881628306839085,UPI,UK,New York,43,Male,2023-10-03,2023-03-20,42.06759287616443,6,Yes,2,Desktop,2968.608884024541,466.6223071577114,3010.6764769007054,2023,3,20,0,12,-197,0.15718551193079766,2324.374232591874,0,2023-01,2023-03
3041,10178,356,Phone,Accessories,1,480.12829203872104,0.14167454968354756,UPI,USA,London,32,Female,2023-12-19,2023-05-29,23.442731514931733,4,No,4,Mobile,412.10633247380446,116.80919465428028,435.5490639887362,2023,5,29,0,22,-204,0.28344430902843565,2488.30654450706,0,2023-01,2023-05
3824,10102,274,Headphones,Accessories,8,434.20291311317914,0.09729866374108999,Card,India,London,64,Male,2023-03-09,2023-05-10,49.586061017567204,3,No,1,Mobile,3135.644398998226,803.3495746100452,3185.230460015793,2023,5,10,2,19,62,0.25619919620563447,3516.9420584314985,0,2023-02,2023-05
4417,10165,487,Headphones,Electronics,1,995.7250769229121,0.2856431751229054,Cash,India,Toronto,55,Female,2023-06-22,2023-05-07,26.25264339479605,1,No,4,Desktop,711.3030044011523,105.74271382478688,737.5556477959483,2023,5,7,6,18,-46,0.14866057526892063,1885.848265707027,0,2023-02,2023-05
3612,10191,329,Monitor,Electronics,5,30.283768317145555,0.24709367842592725,UPI,Canada,New York,20,Male,2023-11-27,2023-12-31,29.92262371259993,7,Yes,3,Desktop,114.00420303531753,33.0337829150876,143.92682674791746,2023,12,31,6,52,34,0.2897593425117319,1626.1553226298556,0,2023-10,2023-12
3945,10037,374,Headphones,Accessories,6,897.1639830742209,0.21270045339791385,Cash,India,London,55,Female,2023-05-05,2023-04-29,28.839871186555936,5,No,1,Mobile,4238.020782612335,726.5303357195899,4266.860653798891,2023,4,29,5,17,-6,0.17143151791524563,2866.9756595223207,1,2023-01,2023-04
2363,10049,283,Headphones,Electronics,6,166.15800942094268,0.1762880959845326,UPI,USA,Mumbai,33,Male,2023-06-19,2023-12-23,19.4781663436225,7,Yes,1,Desktop,821.197981845268,189.18183407651992,840.6761481888906,2023,12,23,5,51,187,0.2303729895334375,855.1070165318257,0,2023-05,2023-12
3139,10097,221,Tablet,Electronics,5,790.2067706847351,0.2461775367972444,UPI,USA,Toronto,19,Female,2023-02-16,2023-09-19,8.375994000181318,1,Yes,4,Mobile,2978.3780715853104,740.3373619500136,2986.754065585492,2023,9,19,1,38,215,0.24857064622287928,2015.3947148917323,0,2023-02,2023-09
2390,10081,226,Monitor,Accessories,3,625.572928649372,0.11768011245706411,UPI,India,Toronto,48,Male,2023-09-18,2023-09-01,45.30430536808633,8,No,2,Mobile,1655.8663081674567,173.17121432753757,1701.170613535543,2023,9,1,4,35,-17,0.10458043229298247,1453.377599871385,0,2023-04,2023-09
4003,10029,394,Laptop,Electronics,5,355.01033978813024,0.13426555653181857,UPI,UK,New York,45,Male,2023-08-05,2023-04-13,41.12041156368291,3,Yes,1,Mobile,1536.7233947096347,448.405850591454,1577.8438062733176,2023,4,13,3,15,-114,0.2917934692314492,1701.256007043947,0,2023-04,2023-04
2478,10078,435,Phone,Electronics,8,876.397456410598,0.21900051632425843,Cash,UK,New York,24,Male,2023-11-01,2023-02-06,11.278705125185116,7,Yes,2,Desktop,5475.727687611282,924.7861280610434,5487.006392736467,2023,2,6,0,6,-268,0.16888826121747297,1865.6333509340384,1,2023-02,2023-02
4499,10090,291,Headphones,Electronics,2,32.64908342137214,0.10732642898811427,Cash,USA,Toronto,47,Male,2023-05-04,2023-05-22,39.95457221075328,3,Yes,4,Desktop,58.289947776042446,8.041435135024482,98.24451998679572,2023,5,22,0,21,18,0.13795577868624487,2683.2142995298022,0,2023-05,2023-05
3556,10178,220,Phone,Electronics,6,242.1568390334252,0.019170282614512146,Cash,UK,Mumbai,60,Female,2023-10-20,2023-02-06,33.16309997227745,3,Yes,4,Mobile,1425.087743952705,384.97542393074116,1458.2508439249825,2023,2,6,0,6,-256,0.27014155834569964,2488.30654450706,0,2023-01,2023-02
1775,10190,283,Laptop,Electronics,9,575.5549403245453,0.022300382665821437,Cash,Canada,New York,24,Female,2023-06-11,2023-01-08,23.411470456293003,9,Yes,2,Mobile,5064.478604190935,1218.4115361711604,5087.890074647227,2023,1,8,6,1,-154,0.24057985656468286,5087.890074647227,1,2023-01,2023-01
1034,10051,461,Phone,Accessories,8,364.5114148487041,0.03460884039171116,Card,Canada,New York,53,Male,2023-07-20,2023-08-19,16.430951709300324,2,No,4,Desktop,2815.168779769988,330.35626856586657,2831.599731479288,2023,8,19,5,33,30,0.11734865452467053,2255.2893243179233,0,2023-06,2023-08
3253,10165,346,Laptop,Accessories,8,618.1699454119611,0.2609043970030988,UPI,India,Toronto,46,Female,2023-10-02,2023-11-29,43.68779525760046,4,No,1,Mobile,3655.0935084705184,451.0711287654278,3698.781303728119,2023,11,29,2,48,58,0.12340891627535391,1885.848265707027,1,2023-02,2023-11
4152,10078,456,Tablet,Electronics,8,43.62798954049349,0.1416679277268613,UPI,India,Toronto,41,Male,2023-07-25,2023-10-23,36.50847166823239,6,Yes,4,Desktop,299.57842137122077,72.80905245471217,336.0868930394532,2023,10,23,0,43,90,0.2430383741307298,1865.6333509340384,0,2023-02,2023-10
